,Unnamed: 0,Unnamed: 0.1,user_name,ID,user_location,user_description,user_verified,date,text,language,favourites-count,author,retweet-count,hashtags,source
42,42,42,Animashaun 05,1485375909339320320,,,False,2022-01-23 22:16:28+00:00,"RT @Emmanuelsanusi1: I just love my country people... We lose, we still use a catch cruise.. Blame am on #Buhari, #DesmondElliott, @Ghanian…",en,0,05Animashaun,1,"['Buhari', 'DesmondElliott']",Twitter for Android
43,43,43,Jizzyluv❣️,1485375908961783817,Owerri,"Queen😘/FUTO🇳🇬/Graced/ writter            
DM for your poems , story and articles.
An Entrepreneur (@Jizzybeddings).
#follow to follow back.
I.G@ jizzy.luv",False,2022-01-23 22:16:28+00:00,"Justice for super Eagles .
#Eagles #Buhari #madukaokoye https://t.co/4XR6NIsMsI",en,1,Joyugonma2,0,"['Eagles', 'Buhari', 'madukaokoye']",Twitter for Android
44,44,44,chinyere chigbu,1485375901265235977,,,False,2022-01-23 22:16:26+00:00,RT @TMike_Angelo: He came in late but shows his class.... Star man.. u did well #nigeriavstunisia #buhari #nigeria https://t.co/8I1YidMx2I,en,0,chigbu_chinyere,3,"['nigeriavstunisia', 'buhari', 'nigeria']",Twitter for Android
45,45,45,Metong Jonathan,1485375896840282121,Garden city,"Today,I am Nothing but tomorrow I will Be Everything.",False,2022-01-23 22:16:25+00:00,#Desmond #Elliot  and #Buhari  don kuku kill the Eagle self! Make we all focus on the up coming #Elections get your #PVC's ready https://t.co/0alyUc89gB,en,0,MetongJonathan,0,"['Desmond', 'Elliot', 'Buhari', 'Elections']",Twitter Web App
46,46,46,David,1485375889525329922,,Tired,False,2022-01-23 22:16:23+00:00,"RT @ayemojubar: #Buhari: Musa saw it coming. 😭🥺
I blame Desmond Elliot for all this. 😡
https://t.co/8fud2GGZuO",en,0,chimdike_david,193,['Buhari'],Twitter for Android
47,47,47,chinyere chigbu,1485375874769858561,,,False,2022-01-23 22:16:20+00:00,RT @posacomic: #okoye don cut my 22 million naira bet niaja ticket 🥲#Nigeriavstunisia #Buhari https://t.co/Gpfeq5OzQk,en,0,chigbu_chinyere,3,"['okoye', 'Nigeriavstunisia', 'Buhari']",Twitter for Android
48,48,48,PUFFPUFF AND KPOKS,1485375864481189888,"Kaduna, Nigeria",#eventmanager #adconsultant #digitalmarketer #comicfan #serialentrepreneur #Nigerian,False,2022-01-23 22:16:17+00:00,"RT @judeisrael94: Ghanaians in the kitchen cooking banter rn 

#NIGTUN #madukaokoye #AFCON2021 #Buhari https://t.co/uSwV474W4K",en,0,puffpuffnkpoks,5,"['NIGTUN', 'madukaokoye', 'AFCON2021', 'Buhari']",Twitter for iPhone
49,49,49,Mr. Troll 😋,1485375856377839620,,A guy who sees life from a different perspective 😎,False,2022-01-23 22:16:15+00:00,#Buhari finally we have seen our problem but its too late so get ready your PVC's https://t.co/7RVcBEm1hT,en,1,NDAtv001,0,['Buhari'],Twitter for Android
50,50,50,Private Eye,1485375852078579717,Social Media,Coupled with the task to collect physical evidence and information of various media personality through humour.,False,2022-01-23 22:16:14+00:00,"Bad belle lopo laye! 
Who is it referring to: ""Buhari"" 😂😂
#AFCON2021 #madukaokoye #Nigeria #Buhari",en,1,the_lawman01,0,"['AFCON2021', 'madukaokoye', 'Nigeria', 'Buhari']",Twitter for Android
51,51,51,DaddyJoe,1485375848823861262,Abj  ,"⚜A lovely fellow🌝,a Structural🏘 engineer🏗,open to productive ideas,and people #:DiehardChelFC💙",False,2022-01-23 22:16:13+00:00,Make it a prayer point not to receive some calls. U should kw where am 👉 at.hmmmm! to avoid today's outcome throughout the remaining months of the Yr. Thank you and God bless.#Buhari,en,0,JonasUche4,0,,Twitter for Android
